HPNR,Leistungstyp,Heilmittelbereich,Leistungserbringer,Grundlage,Leistungsart,Leistung,gültig ab,gültig bis,Eigentümer
20108,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut, 125 Abs. 1 SGB V,Massage,"Segment-, Periost-, Colonmassage",1900-01-01,9999-12-31,GKV-SV
60108,Heilmittel,Physiotherapie,Krankenhaus, 125 Abs. 1 SGB V,Massage,"Segment-, Periost-, Colonmassage",1900-01-01,9999-12-31,GKV-SV
80108,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten, 125 Abs. 1 SGB V,Massage,"Segment-, Periost-, Colonmassage",1900-01-01,9999-12-31,GKV-SV
10201,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister", 125 Abs. 1 SGB V,Man. Lymphdrainage,Manuelle Lymphdrainage MLD - 45 Minuten (Großbehandlung),1900-01-01,9999-12-31,GKV-SV
20201,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut, 125 Abs. 1 SGB V,Man. Lymphdrainage,Manuelle Lymphdrainage MLD - 45 Minuten (Großbehandlung),1900-01-01,9999-12-31,GKV-SV
60201,Heilmittel,Physiotherapie,Krankenhaus, 125 Abs. 1 SGB V,Man. Lymphdrainage,Manuelle Lymphdrainage MLD - 45 Minuten (Großbehandlung),1900-01-01,9999-12-31,GKV-SV
80201,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten, 125 Abs. 1 SGB V,Man. Lymphdrainage,Manuelle Lymphdrainage MLD - 45 Minuten (Großbehandlung),1900-01-01,9999-12-31,GKV-SV
10202,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister", 125 Abs. 1 SGB V,Man. Lymphdrainage,Manuelle Lymphdrainage MLD - 60 Minuten (Ganzbehandlung),1900-01-01,9999-12-31,GKV-SV
20202,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut, 125 Abs. 1 SGB V,Man. Lymphdrainage,Manuelle Lymphdrainage MLD - 60 Minuten (Ganzbehandlung),1900-01-01,9999-12-31,GKV-SV
60202,Heilmittel,Physiotherapie,Krankenhaus, 125 Abs. 1 SGB V,Man. Lymphdrainage,Manuelle Lymphdrainage MLD - 60 Minuten (Ganzbehandlung),1900-01-01,9999-12-31,GKV-SV
80202,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten, 125 Abs. 1 SGB V,Man. Lymphdrainage,Manuelle Lymphdrainage MLD - 60 Minuten (Ganzbehandlung),1900-01-01,9999-12-31,GKV-SV
10203,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister",,Man. Lymphdrainage,Ganzbehandlung mit komplexer Bewegungstherapie,1900-01-01,9999-12-31,
20203,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut,,Man. Lymphdrainage,Ganzbehandlung mit komplexer Bewegungstherapie,1900-01-01,9999-12-31,
60203,Heilmittel,Physiotherapie,Krankenhaus,,Man. Lymphdrainage,Ganzbehandlung mit komplexer Bewegungstherapie,1900-01-01,9999-12-31,
80203,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten,,Man. Lymphdrainage,Ganzbehandlung mit komplexer Bewegungstherapie,1900-01-01,9999-12-31,
10204,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister", 125 Abs. 1 SGB V,Man. Lymphdrainage,Kompressionsbandagierung einer Extremität,1900-01-01,9999-12-31,GKV-SV
20204,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut, 125 Abs. 1 SGB V,Man. Lymphdrainage,Kompressionsbandagierung einer Extremität,1900-01-01,9999-12-31,GKV-SV
60204,Heilmittel,Physiotherapie,Krankenhaus, 125 Abs. 1 SGB V,Man. Lymphdrainage,Kompressionsbandagierung einer Extremität,1900-01-01,9999-12-31,GKV-SV
80204,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten, 125 Abs. 1 SGB V,Man. Lymphdrainage,Kompressionsbandagierung einer Extremität,1900-01-01,9999-12-31,GKV-SV
10205,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister", 125 Abs. 1 SGB V,Man. Lymphdrainage,Manuelle Lymphdrainage MLD - 30 Minuten (Teilbehandlung),1900-01-01,9999-12-31,GKV-SV
20205,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut, 125 Abs. 1 SGB V,Man. Lymphdrainage,Manuelle Lymphdrainage MLD - 30 Minuten (Teilbehandlung),1900-01-01,9999-12-31,GKV-SV
60205,Heilmittel,Physiotherapie,Krankenhaus, 125 Abs. 1 SGB V,Man. Lymphdrainage,Manuelle Lymphdrainage MLD - 30 Minuten (Teilbehandlung),1900-01-01,9999-12-31,GKV-SV
80205,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten, 125 Abs. 1 SGB V,Man. Lymphdrainage,Manuelle Lymphdrainage MLD - 30 Minuten (Teilbehandlung),1900-01-01,9999-12-31,GKV-SV
10301,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister", 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., EB",Übungsbehandlung: Einzelbehandlung,1900-01-01,9999-12-31,GKV-SV
20301,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., EB",Übungsbehandlung: Einzelbehandlung,1900-01-01,9999-12-31,GKV-SV
60301,Heilmittel,Physiotherapie,Krankenhaus, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., EB",Übungsbehandlung: Einzelbehandlung,1900-01-01,9999-12-31,GKV-SV
80301,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., EB",Übungsbehandlung: Einzelbehandlung,1900-01-01,9999-12-31,GKV-SV
10302,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister",,"Bewegungstherapie / Übungsbehandl., EB",Atemgymnastik,1900-01-01,9999-12-31,
20302,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut,,"Bewegungstherapie / Übungsbehandl., EB",Atemgymnastik,1900-01-01,9999-12-31,
60302,Heilmittel,Physiotherapie,Krankenhaus,,"Bewegungstherapie / Übungsbehandl., EB",Atemgymnastik,1900-01-01,9999-12-31,
80302,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten,,"Bewegungstherapie / Übungsbehandl., EB",Atemgymnastik,1900-01-01,9999-12-31,
10303,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister",,"Bewegungstherapie / Übungsbehandl., EB",Atem- und Kreislaufgymnastik,1900-01-01,9999-12-31,
